CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;A101;A102;A104;A105;A106;A107;A107_09;A108;A109;A110;G101;G102;G103;G104;IL02_CP;IL02;C103;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
43;;;base;interview;30/03/2022 21:31;28;Female;Colombia;Employed Full-time;Bachelor's Degree;Latino or Hispanic;;Yes;Private;Student visa and residence permit;Neither agree nor disagree;Completely agree;Completely agree;Completely agree;6;Group 2;I agree;2;7;23;24;2;41;99;;30/03/2022 21:32;1;0;6;6;0;0;1.45;91
45;;;base;interview;30/03/2022 21:32;;;;;;;;;;;;;;;;;I agree;3;26;125339;;;;55;;30/03/2022 21:32;0;0;2;3;0;0;0.45;0
46;;;base;interview;30/03/2022 21:34;;;;;;;;;;;;;;;;;I agree;5;18;;;;;23;;30/03/2022 21:34;0;0;2;2;0;0;0.55;0
47;;;base;interview;30/03/2022 21:34;26;Male;Brazil;Employed Full-time;Master's Degree;Caucasian/White;;No;Private;None of the above;Somewhat disagree;Completely agree;Somewhat agree;Somewhat agree;7;Group 1;I agree;2;10;16;61;28;108;114;;30/03/2022 21:38;1;0;6;6;0;0;0.95;9
48;;;base;interview;30/03/2022 21:35;26;Female;India;Employed Full-time;Bachelor's Degree;Other:;Indian ;No;Public;None of the above;Somewhat agree;Completely agree;Somewhat agree;Neither agree nor disagree;7;Group 2;I agree;2;7;54;43;7;43;156;;30/03/2022 21:37;1;0;6;6;0;0;1.27;32
51;;;base;interview;30/03/2022 21:39;25;Male;Germany;Employed Part-time;Bachelor's Degree;Caucasian/White;;Yes;Private;None of the above;Somewhat disagree;Somewhat agree;Somewhat disagree;Neither agree nor disagree;7;Control group;I agree;2;16;38;17;;23;96;;30/03/2022 21:41;1;0;6;6;0;0;1.12;14
52;;;base;interview;30/03/2022 21:40;30;Male;Brazil;Employed Part-time;Master's Degree;Latino or Hispanic;;Yes;Private;Student visa and residence permit;Neither agree nor disagree;Completely agree;Somewhat agree;Somewhat agree;8;Group 1;I agree;2;4;77;54;3;55;112;;30/03/2022 21:43;1;0;6;6;0;0;1.36;84
53;;;base;interview;30/03/2022 21:42;;;;;;;;;;;;;;;;;I agree;2;4;;;;;6;;30/03/2022 21:42;0;0;2;2;0;0;1.88;44
54;;;base;interview;30/03/2022 21:43;29;Male;Mexico;Employed Part-time;Bachelor's Degree;Latino or Hispanic;;Yes;Private;Student visa and residence permit;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;8;Group 2;I agree;3;5;19;26;28;37;118;;30/03/2022 21:45;1;0;6;6;0;0;1.16;10
55;;;base;interview;30/03/2022 21:44;23;Male;Germany;Employed Part-time;Bachelor's Degree;Two or More;;Yes;Private;None of the above;Neither agree nor disagree;Completely agree;Completely agree;Somewhat disagree;8;Control group;I agree;3;21;37;14;;67;142;;30/03/2022 21:46;1;0;6;6;0;0;0.85;6
56;;;base;interview;30/03/2022 21:47;;;;;;;;;;;;;;;;;I agree;12;25;;;;;37;;30/03/2022 21:48;0;0;2;2;0;0;0.31;0
59;;;base;interview;30/03/2022 21:49;26;Female;Germany;Not answered;;Not answered;;;;;;;;;;;I agree;105;46;83;;;;38;;30/03/2022 21:53;0;0;3;3;33;33;0.18;0
60;;;base;interview;30/03/2022 21:50;27;Female;Germany;Employed Full-time;Master's Degree;Caucasian/White;;Yes;Private;None of the above;;;;;9;Group 1;I agree;4;11;26;24;25;;90;;30/03/2022 21:51;0;0;5;5;0;0;0.92;1
61;;;base;interview;30/03/2022 21:50;29;Male;Germany;Employed Full-time;Master's Degree;Caucasian/White;;No;Not answered;Not answered;;;;;;;I agree;3;9;46;379;;;80;;30/03/2022 21:57;0;0;4;4;20;20;0.66;0
63;;;base;interview;30/03/2022 21:55;26;Female;Germany;Employed Part-time;High school;Caucasian/White;;Yes;Public;None of the above;;;;;9;Control group;I agree;2;4;61;59;;;54;;30/03/2022 21:57;0;0;4;4;0;0;1.14;22
65;;;base;interview;30/03/2022 21:58;18;Male;Afghanistan;Unemployed;Bachelor's Degree;Black or African-American;;Yes;Public;Only residence permit;;;;;9;Group 2;I agree;1;2;10;5;5;;23;;30/03/2022 21:58;0;0;5;5;0;0;2.92;151
67;;;base;interview;30/03/2022 22:03;;;;;;;;;;;;;;;;;I agree;6;3;;;;;9;;30/03/2022 22:03;0;0;2;2;0;0;1.75;50
70;;;base;interview;30/03/2022 22:05;31;Female;Peru;Unemployed;Bachelor's Degree;Latino or Hispanic;;Yes;Private;Student visa and residence permit;Somewhat agree;Completely agree;Completely agree;Somewhat agree;10;Group 2;I agree;20;66;36;26;98;52;224;;30/03/2022 22:10;1;0;6;6;0;0;0.47;0
71;;;base;interview;30/03/2022 22:09;23;Female;Italy;Unemployed;Bachelor's Degree;Caucasian/White;;Yes;Private;None of the above;Neither agree nor disagree;Somewhat agree;Completely disagree;Somewhat disagree;10;Control group;I agree;2;13;23;21;;56;115;;30/03/2022 22:11;1;0;6;6;0;0;1;7
72;;;base;interview;30/03/2022 22:16;30;Female;Peru;Unemployed;Bachelor's Degree;Latino or Hispanic;;Yes;Private;Only residence permit;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;10;Group 1;I agree;3;4;31;27;37;26;128;;30/03/2022 22:18;1;0;6;6;0;0;1.17;14
73;;;base;interview;30/03/2022 22:23;26;Female;Brazil;Employed Full-time;Bachelor's Degree;Caucasian/White;;No;I am currently not studying in Germany;I am currently not studying in Germany;Somewhat disagree;Somewhat agree;Somewhat agree;Somewhat agree;11;Group 1;I agree;4;7;20;13;2;27;73;;30/03/2022 22:24;1;0;6;6;0;0;1.56;97
74;;;base;interview;30/03/2022 22:25;25;Female;Spain;Employed Part-time;Bachelor's Degree;Latino or Hispanic;;Yes;Public;None of the above;Neither agree nor disagree;Completely agree;Neither agree nor disagree;Somewhat agree;11;Control group;I agree;6;20;29;24;;51;130;;30/03/2022 22:28;1;0;6;6;0;0;0.69;0
75;;;base;interview;30/03/2022 22:45;24;Female;Germany;Employed Full-time;Master's Degree;Caucasian/White;;No;I am currently not studying in Germany;I am currently not studying in Germany;Somewhat agree;Somewhat agree;Somewhat disagree;Somewhat disagree;11;Group 2;I agree;4;5;37;28;87;20;181;;30/03/2022 22:48;1;0;6;6;0;0;1.03;13
76;;;base;interview;30/03/2022 22:48;23;Female;United States;Employed Part-time;Bachelor's Degree;Two or More;;Yes;Private;Only residence permit;;;;;12;Group 2;I agree;1;4;22;21;145282;;76;;01/04/2022 15:10;0;0;5;5;0;0;1.5;35
79;;;base;interview;30/03/2022 23:15;25;Female;United States;Unemployed;Bachelor's Degree;Latino or Hispanic;;Yes;Private;Student visa and residence permit;Neither agree nor disagree;Somewhat agree;Neither agree nor disagree;Somewhat agree;12;Group 1;I agree;2;6;14;17;2;17;58;;30/03/2022 23:16;1;0;6;6;0;0;1.88;111
80;;;base;interview;30/03/2022 23:18;36;Female;Malaysia;Unemployed;Master's Degree;South Asian;;Yes;Private;Student visa and residence permit;Somewhat agree;Completely agree;Completely agree;Somewhat agree;12;Control group;I agree;3;10;28;51;;30;93;;30/03/2022 23:20;1;0;6;6;0;0;0.89;2
81;;;base;interview;30/03/2022 23:26;26;Female;China;Unemployed;Bachelor's Degree;East Asian;;Yes;Private;Only residence permit;Completely agree;Completely agree;Completely agree;Completely agree;13;Group 2;I agree;3;8;18;13;36;26;104;;30/03/2022 23:28;1;0;6;6;0;0;1.24;14
83;;;base;interview;30/03/2022 23:28;22;Female;Germany;Unemployed;High school;Latino or Hispanic;;Yes;Private;Student visa and residence permit;Somewhat agree;Completely agree;Completely agree;Somewhat agree;13;Control group;I agree;8;40;71;13;;23;79;;30/03/2022 23:31;1;0;6;6;0;0;0.84;13
84;;;base;interview;30/03/2022 23:30;Not answered;Not answered;Not answered;Not answered;;Not answered;;;;;;;;;;;I agree;2;3;43;;;;48;;30/03/2022 23:31;0;0;3;3;83;83;1.7;42
85;;;base;interview;30/03/2022 23:43;22;Female;Italy;Unemployed;Master's Degree;Caucasian/White;;Yes;Private;None of the above;Somewhat agree;Completely agree;Somewhat agree;Somewhat agree;13;Group 1;I agree;5;6;21;31;17;26;106;;30/03/2022 23:44;1;0;6;6;0;0;1.18;15
86;;;base;interview;31/03/2022 07:29;;;;;;;;;;;;;;;;;I agree;17;33;;;;;36;;31/03/2022 07:30;0;0;2;2;0;0;0.22;0
88;;;base;interview;31/03/2022 07:55;27;Female;Canada;Employed Part-time;Bachelor's Degree;Caucasian/White;;Yes;Private;Student visa and residence permit;Somewhat disagree;Completely agree;Completely disagree;Completely disagree;14;Control group;I agree;2;24;42;22;;41;131;;31/03/2022 07:57;1;0;6;6;0;0;0.87;5
91;;;base;interview;31/03/2022 09:58;26;Male;United States;Unemployed;Bachelor's Degree;Caucasian/White;;Yes;Private;Only residence permit;Neither agree nor disagree;Completely agree;Neither agree nor disagree;Somewhat disagree;14;Group 1;I agree;4;20;25;33;38;71;191;;31/03/2022 10:01;1;0;6;6;0;0;0.69;0
93;;;base;interview;31/03/2022 10:14;23;Female;Chile;Unemployed;Master's Degree;Latino or Hispanic;;Yes;Private;Student visa and residence permit;Completely agree;Completely agree;Completely disagree;Neither agree nor disagree;14;Group 2;I agree;3;12;19;17;112;90;253;;31/03/2022 10:18;1;0;6;6;0;0;0.84;6
94;;;base;interview;31/03/2022 10:15;28;Female;Germany;Unemployed;Bachelor's Degree;Caucasian/White;;Yes;Public;None of the above;Somewhat agree;Completely agree;Completely agree;Completely agree;15;Group 1;I agree;24;23;46;28;56;136;192;;31/03/2022 10:20;1;0;6;6;0;0;0.44;0
95;;;base;interview;31/03/2022 10:31;23;Male;Austria;Unemployed;Bachelor's Degree;Caucasian/White;;Yes;Private;None of the above;Somewhat agree;Neither agree nor disagree;Completely disagree;Somewhat agree;15;Group 2;I agree;13;8;41;32;75;77;246;;31/03/2022 10:35;1;0;6;6;0;0;0.59;1
96;;;base;interview;31/03/2022 10:33;30;Female;Peru;Employed Full-time;Bachelor's Degree;Latino or Hispanic;;Yes;Private;Student visa and residence permit;Somewhat agree;Neither agree nor disagree;Somewhat disagree;Somewhat agree;15;Control group;I agree;17;17;20;21;;78;139;;31/03/2022 10:36;1;0;6;6;0;0;0.7;3
98;;;base;interview;31/03/2022 10:40;32;Male;Mexico;Employed Part-time;Bachelor's Degree;Latino or Hispanic;;Yes;Private;Student visa and residence permit;Neither agree nor disagree;Completely agree;Somewhat agree;Somewhat agree;16;Control group;I agree;2;31;20;15;;26;94;;31/03/2022 10:41;1;0;6;6;0;0;1.19;17
99;;;base;interview;31/03/2022 10:41;26;Female;United States;Unemployed;Bachelor's Degree;Caucasian/White;;Yes;Private;Only residence permit;Somewhat agree;Somewhat agree;Somewhat disagree;Somewhat disagree;16;Group 1;I agree;3;16;13;12;20;85;149;;31/03/2022 10:44;1;0;6;6;0;0;1.2;19
100;;;base;interview;31/03/2022 11:22;31;Male;Mexico;Employed Full-time;Bachelor's Degree;Caucasian/White;;Yes;Private;None of the above;Somewhat agree;Completely agree;Completely disagree;Somewhat disagree;16;Group 2;I agree;14;6;29;25;71;39;184;;31/03/2022 11:25;1;0;6;6;0;0;0.8;4
101;;;base;interview;31/03/2022 12:01;26;Female;Germany;Employed Part-time;;Caucasian/White;;;;;;;;;;;I agree;5;67;24;43388;;;60;;01/04/2022 00:05;0;0;4;4;0;0;0.45;1
103;;;base;interview;31/03/2022 12:52;27;Female;Greece;Unemployed;Bachelor's Degree;Caucasian/White;;No;I am currently not studying in Germany;Only residence permit;;;;;17;Control group;I agree;2;8;21;13;;;44;;31/03/2022 12:52;0;0;4;4;0;0;1.39;19
105;;;base;interview;31/03/2022 13:32;23;Female;United States;Employed Part-time;Bachelor's Degree;Caucasian/White;;Yes;Private;Student visa and residence permit;Somewhat agree;Completely agree;Completely disagree;Somewhat agree;17;Group 1;I agree;2;10;16;13;14;23;78;;31/03/2022 13:33;1;0;6;6;0;0;1.55;28
106;;;base;interview;31/03/2022 13:34;22;Female;Italy;Unemployed;Bachelor's Degree;Caucasian/White;;Yes;Private;None of the above;Completely agree;Completely agree;Neither agree nor disagree;Neither agree nor disagree;17;Group 2;I agree;2;3;20;22;6;35;88;;31/03/2022 13:35;1;0;6;6;0;0;1.8;54
108;;;base;interview;31/03/2022 13:37;26;Male;Germany;Employed Part-time;Bachelor's Degree;Caucasian/White;;Yes;Private;None of the above;Neither agree nor disagree;Somewhat agree;Completely disagree;Somewhat disagree;18;Control group;I agree;2;15;19;16;;16;68;;31/03/2022 13:38;1;0;6;6;0;0;1.42;25
109;;;base;interview;31/03/2022 13:37;26;Female;Colombia;Employed Part-time;Bachelor's Degree;Latino or Hispanic;;Yes;Private;Student visa and residence permit;Somewhat disagree;Completely agree;Somewhat agree;Somewhat agree;18;Group 2;I agree;5;10;22;23;56;54;170;;31/03/2022 13:40;1;0;6;6;0;0;0.8;2
110;;;base;interview;31/03/2022 13:50;21;Male;India;Unemployed;Bachelor's Degree;South Asian;;Yes;Private;Student visa and residence permit;Somewhat agree;Completely agree;Somewhat agree;Somewhat agree;18;Group 1;I agree;2;6;23;16;13;19;79;;31/03/2022 13:51;1;0;6;6;0;0;1.59;30
111;;;base;interview;31/03/2022 13:51;28;Male;India;Unemployed;Master's Degree;South Asian;;Yes;Private;None of the above;;;;;19;Group 2;I agree;8;16;38;16;6;;84;;31/03/2022 13:53;0;0;5;5;0;0;1.2;40
113;;;base;interview;31/03/2022 13:55;27;Female;India;Unemployed;Master's Degree;South Asian;;Yes;Private;Student visa and residence permit;Somewhat agree;Completely agree;Somewhat agree;Completely agree;19;Group 1;I agree;2;13;49;27;3;48;142;;31/03/2022 13:57;1;0;6;6;0;0;1.21;74
114;;;base;interview;31/03/2022 13:59;23;Female;United Kingdom;Unemployed;Master's Degree;Caucasian/White;;Yes;Private;Only residence permit;Somewhat agree;Completely agree;Completely agree;Somewhat agree;19;Control group;I agree;5;6;24;44;;94;173;;31/03/2022 14:02;1;0;6;6;0;0;0.81;6
116;;;base;interview;31/03/2022 14:02;24;Male;Spain;Unemployed;Bachelor's Degree;Caucasian/White;;Yes;Private;None of the above;Somewhat agree;Completely agree;Completely agree;Completely agree;20;Group 1;I agree;14;35;36;19;51;31;160;;31/03/2022 14:05;1;0;6;6;0;0;0.68;3
117;;;base;interview;31/03/2022 14:15;33;Female;Colombia;Unemployed;Master's Degree;Latino or Hispanic;;Yes;Private;Student visa and residence permit;Somewhat agree;Completely agree;Somewhat agree;Completely disagree;20;Group 2;I agree;1;4;26;14;11;96;152;;31/03/2022 14:18;1;0;6;6;0;0;1.79;45
118;;;base;interview;31/03/2022 14:17;33;Female;Colombia;Unemployed;Master's Degree;Latino or Hispanic;;Yes;Private;Student visa and residence permit;;;;;20;Control group;I agree;1;4;14;8;;9;36;;31/03/2022 14:17;0;0;4;6;0;0;2.57;89
119;;;base;interview;31/03/2022 14:22;23;Female;Germany;Employed Part-time;Master's Degree;Other:;Arab;Yes;Private;None of the above;Somewhat agree;Completely agree;Neither agree nor disagree;Somewhat disagree;21;Control group;I agree;2;10;17;9;;25;63;;31/03/2022 14:23;1;0;6;6;0;0;1.56;29
120;;;base;interview;31/03/2022 14:28;27;Female;Norway;Unemployed;Bachelor's Degree;Caucasian/White;;Yes;Private;None of the above;Somewhat agree;Completely agree;Completely agree;Completely agree;21;Group 1;I agree;2;5;28;36;20;32;123;;31/03/2022 14:30;1;0;6;6;0;0;1.23;15
121;;;base;interview;31/03/2022 15:18;25;Female;United States;Unemployed;Bachelor's Degree;Caucasian/White;;Yes;Private;Student visa and residence permit;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;21;Group 2;I agree;6;34;241;61;104;174;203;;31/03/2022 15:28;1;0;6;6;0;0;0.28;0
123;;;base;interview;31/03/2022 15:37;23;Female;France;Employed Part-time;Bachelor's Degree;Caucasian/White;;Yes;Private;None of the above;Somewhat agree;Completely agree;Somewhat agree;Somewhat disagree;22;Group 2;I agree;1;6;22;32;3;80;144;;31/03/2022 15:40;1;0;6;6;0;0;1.64;92
124;;;base;interview;31/03/2022 15:38;20;Female;Indonesia;Unemployed;High school;Other:;South-East Asian;Yes;Public;Student visa and residence permit;Somewhat agree;Somewhat agree;Neither agree nor disagree;Somewhat agree;22;Group 1;I agree;3;14;54;25;49;60;205;;31/03/2022 15:41;1;0;6;6;0;0;0.7;0
126;;;base;interview;31/03/2022 16:42;;;;;;;;;;;;;;;;;Do not agree;2;3;;;;;5;;31/03/2022 16:42;1;0;2;2;0;0;2.25;63
127;;;base;interview;31/03/2022 16:43;27;Male;India;Employed Part-time;Master's Degree;South Asian;;Yes;Private;Student visa and residence permit;Somewhat disagree;Somewhat agree;Somewhat disagree;Somewhat agree;22;Control group;I agree;1;6;89;32;;22;87;;31/03/2022 16:45;1;0;6;6;0;0;1.42;31
129;;;base;interview;31/03/2022 16:54;27;Male;Iran;Unemployed;Master's Degree;Other:;Middle eastern ;Yes;Public;Student visa and residence permit;Neither agree nor disagree;Somewhat agree;Somewhat disagree;Somewhat disagree;23;Group 2;I agree;40;13;112;41;287;118;147;;31/03/2022 17:04;1;0;6;6;0;0;0.32;0
130;;;base;interview;31/03/2022 16:56;;;;;;;;;;;;;;;;;Do not agree;4;12;;;;;16;;31/03/2022 16:57;1;0;2;2;0;0;0.75;0
131;;;base;interview;31/03/2022 16:57;22;Female;Spain;Unemployed;High school;Caucasian/White;;Yes;Public;None of the above;Somewhat agree;Completely agree;Neither agree nor disagree;Somewhat agree;23;Group 1;I agree;2;6;36;24;6;34;108;;31/03/2022 16:59;1;0;6;6;0;0;1.45;39
136;;;base;interview;31/03/2022 19:17;30;Male;Not answered;Employed Part-time;;South Asian;;;;;;;;;;;I agree;4;5;34;;;;43;;31/03/2022 19:17;0;0;3;3;17;16;1.1;13
137;;;base;interview;31/03/2022 21:09;33;Male;Colombia;Unemployed;Master's Degree;Prefer not to say;;Yes;Private;None of the above;Completely agree;Completely agree;Completely agree;Completely agree;23;Control group;I agree;3;5;30;26;;40;104;;31/03/2022 21:11;1;0;6;6;0;0;1.08;8
138;;;base;interview;31/03/2022 21:40;27;Male;Saudi Arabia;Unemployed;Bachelor's Degree;Other:;Middle eastrean ;Yes;Private;Student visa and residence permit;Neither agree nor disagree;Neither agree nor disagree;Completely agree;Somewhat agree;24;Group 2;I agree;3;16;54;27;22;56;178;;31/03/2022 21:43;1;0;6;6;0;0;0.8;2
142;;;base;interview;01/04/2022 08:40;23;Female;Germany;Unemployed;Bachelor's Degree;Caucasian/White;;Yes;Private;None of the above;Neither agree nor disagree;Neither agree nor disagree;Somewhat disagree;Somewhat agree;24;Group 1;I agree;18;8;18;16;16;65;126;;01/04/2022 08:43;1;0;6;6;0;0;1.07;14
143;;;base;interview;01/04/2022 09:15;23;Female;Belarus;Unemployed;Bachelor's Degree;Caucasian/White;;Yes;Public;Student visa and residence permit;Neither agree nor disagree;Somewhat agree;Completely agree;Completely agree;24;Control group;I agree;6;15;26;23;;18;88;;01/04/2022 09:16;1;0;6;6;0;0;1.01;10
144;;;base;interview;01/04/2022 09:25;31;Male;Turkey;Unemployed;Bachelor's Degree;Caucasian/White;;Yes;Private;Student visa and residence permit;Neither agree nor disagree;Somewhat agree;Neither agree nor disagree;Somewhat agree;25;Group 1;I agree;6;29;97;23;52;37;173;;01/04/2022 09:29;1;0;6;6;0;0;0.59;0
158;;;base;interview;01/04/2022 17:38;30;Male;India;Unemployed;Bachelor's Degree;South Asian;;Yes;Private;Student visa and residence permit;Completely agree;Completely agree;Neither agree nor disagree;Somewhat agree;25;Control group;I agree;8;12;21;31;;29;101;;01/04/2022 17:40;1;0;6;6;0;0;0.86;5
160;;;base;interview;03/04/2022 11:56;23;Male;Germany;Unemployed;Bachelor's Degree;Caucasian/White;;Yes;Private;None of the above;Somewhat agree;Somewhat agree;Completely agree;Completely agree;25;Group 2;I agree;12;26;22;20;5847;34;142;;03/04/2022 13:35;1;0;6;6;0;0;0.66;3
161;;;base;interview;04/04/2022 19:04;;;;;;;;;;;;;;;;;I agree;3;5;;;;;8;;04/04/2022 19:05;0;0;2;2;0;0;1.4;20
164;;;base;interview;04/04/2022 20:20;31;Female;Mexico;Unemployed;Bachelor's Degree;Latino or Hispanic;;Yes;Private;Student visa and residence permit;Somewhat agree;Completely agree;Somewhat agree;Somewhat agree;26;Group 2;I agree;2;9;397;32;41;40;150;;04/04/2022 20:28;1;0;6;6;0;0;0.81;4
165;;;base;interview;04/04/2022 20:30;;;;;;;;;;;;;;;;;Do not agree;12;3;;;;;15;;04/04/2022 20:30;1;0;2;2;0;0;1.63;50
168;;;base;interview;04/04/2022 22:12;40;Female;Brazil;Employed Full-time;Master's Degree;Latino or Hispanic;;Yes;Private;Only residence permit;Somewhat agree;Somewhat agree;Somewhat disagree;Completely agree;26;Group 1;I agree;17;10;24;28;19;37;121;;04/04/2022 22:15;1;0;6;6;0;0;0.9;5
172;;;base;interview;05/04/2022 12:27;24;Female;Brazil;Employed Part-time;Bachelor's Degree;Two or More;;Yes;Private;Student visa and residence permit;Somewhat agree;Somewhat agree;Completely disagree;Neither agree nor disagree;26;Control group;I agree;3;4;26;23;;24;80;;05/04/2022 12:29;1;0;6;6;0;0;1.34;18
173;;;base;interview;05/04/2022 14:41;25;Male;Colombia;Unemployed;Bachelor's Degree;Latino or Hispanic;;Yes;Private;Student visa and residence permit;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat disagree;27;Control group;I agree;10;15;19;24;;26;94;;05/04/2022 14:43;1;0;6;6;0;0;0.91;8
174;;;base;interview;05/04/2022 15:16;18;Female;Brazil;Employed Part-time;;Latino or Hispanic;;;;;;;;;;;I agree;2;8;36;62043;;;68;;06/04/2022 08:31;0;0;4;4;0;0;0.84;8
176;;;base;interview;05/04/2022 18:14;23;Male;Italy;Employed Full-time;Bachelor's Degree;Caucasian/White;;Yes;Private;None of the above;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;27;Group 1;I agree;2;3;23;14;36;17;95;;05/04/2022 18:16;1;0;6;6;0;0;1.68;36
181;;;base;interview;06/04/2022 20:35;32;Male;United States;Employed Part-time;Bachelor's Degree;Caucasian/White;;Yes;Private;Only residence permit;Neither agree nor disagree;Somewhat agree;Somewhat disagree;Somewhat agree;27;Group 2;I agree;3;3;17;25;16;20;84;;06/04/2022 20:37;1;0;6;6;0;0;1.66;34
183;;;base;interview;07/04/2022 09:17;22;Female;India;Unemployed;Bachelor's Degree;South Asian;;Yes;Private;Student visa and residence permit;Somewhat agree;Completely agree;Somewhat agree;Somewhat agree;28;Group 1;I agree;8;25;27;20;12;20;112;;07/04/2022 09:19;1;0;6;6;0;0;1.16;19
185;;;base;interview;07/04/2022 11:29;27;Male;India;Unemployed;Bachelor's Degree;South Asian;;Yes;Private;Student visa and residence permit;;;;;28;Control group;I agree;2;9;23;16;;;50;;07/04/2022 11:30;0;0;4;4;0;0;1.25;13
186;;;base;interview;07/04/2022 11:29;21;Male;United Kingdom;Unemployed;Master's Degree;Caucasian/White;;Yes;Private;Only residence permit;Somewhat agree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;28;Group 2;I agree;10;13;17;33;36;30;139;;07/04/2022 11:31;1;0;6;6;0;0;0.86;6
187;;;base;interview;07/04/2022 11:29;31;Female;Colombia;Employed Part-time;Master's Degree;Latino or Hispanic;;Yes;Private;Only residence permit;Completely agree;Completely agree;Completely agree;Completely agree;29;Group 1;I agree;4;4;41;36;74;41;200;;07/04/2022 11:32;1;0;6;6;0;0;0.92;10
188;;;base;interview;07/04/2022 11:30;24;Female;United States;Employed Full-time;Bachelor's Degree;Caucasian/White;;Yes;Private;None of the above;Completely agree;Completely agree;Somewhat disagree;Somewhat agree;29;Control group;I agree;2;4;33;10;;41;90;;07/04/2022 11:31;1;0;6;6;0;0;1.52;30
189;;;base;interview;07/04/2022 11:30;24;Female;Colombia;Employed Part-time;Bachelor's Degree;Latino or Hispanic;;Yes;Private;Student visa and residence permit;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat agree;29;Group 2;I agree;2;6;27;20;88;48;191;;07/04/2022 11:33;1;0;6;6;0;0;1.02;9
